title,star,comments
麥可傑克森,5.0,"大概電影開始20分鐘，就非常感動。
畫面/劇情都很可以，活在有麥可的年代真的很感恩。
必須進IMAX，視覺聽覺都很享受的一部好作品。
看完意猶未盡，再播2小時都不夠！"
麥可傑克森,5.0,"進場看之前，對於他的過去大概印象是醜聞之類的，在他最輝煌的時期是我未出生的年代，一直很好奇他是個什麼樣的人，整場電影無冷場，很喜歡最後結局的一句話，希望他能在他期許的天堂島及成為他認為的彼得潘
很好看"
麥可傑克森,5.0,"非常可以，不是那個年代，也沒瞭解過他小時候的歌曲，但卻是個感人的電影，付出與努力都在掙扎與淚汗水交織中，音樂充滿了靈魂觸動內心深處，歌詞製作充滿對時事、流行與世界和平的期待！
至今不敢相信那節奏仍然澎湃在腦海！
非常推薦... 不認識他也沒關係~就當去見證巨星誕生和聽歌都值得"
麥可傑克森,5.0,MJ值得二刷三刷👍
麥可傑克森,5.0,"一個時代的巨星的成長歷程，雖有一個不快樂的童年，但他一直盡力變成自己想成為的那個樣子，也用自己音樂創作與表演的影響力想為社會和世界帶來和平，難怪會受那麼多人愛戴。
似乎還會有續集，畢竟經典歌曲很多要在兩小時演繹全部很難～演員們也很用心，相信下了不少功夫和心力。"
麥可傑克森,5.0,"實際看之後，其實很好看
音樂經典、也呈現Micheal的傳奇！
跟國外的影評說的評論天差地遠"
麥可傑克森,5.0,真的太感動了，這一輩子在這個世紀能有一個麥可傑克森是何等榮幸，雖然這部只有演到前半生還沒有出來他更後面的部分，但真的很精彩，非常值得反覆刷，有夠感動而且長得真的好像麥可😭他的姪子至少有7分相像表演也很有誠意！好懷念他，真捨不得巨星的殞落，還記得當時他離開這個世界時那消息令人多麼震驚痛心，不會再有一個像天使般充滿愛且善良又才華洋溢的他出現了無可取代，有一部片能紀錄他的成長覺得太好了🥲
麥可傑克森,5.0,MJ forever!!!
麥可傑克森,5.0,永遠的巨星，歌曲好聽，男主角還原度很高，劇情也很不錯。
麥可傑克森,5.0,"這評價是對時代巨星的致敬
也是對我錯過你的輝煌時代，但處在社會新聞記者攻擊你的不幸的遺憾"
麥可傑克森,5.0,"跟著劇情成長，心疼，欽佩。
巨星註定與眾不同～
但善良的心肯定不會騙人～
喜歡周遭的人都很親和
那個年代，人性良善很難得。
姪子詮釋的很棒👍愛家人的麥克肯定很欣慰💖"
麥可傑克森,5.0,好看，但最後總感覺還可以在演久一點，好像沒看完，後來去查一下，麥可感覺真的有可能還在這世上過著自己想要生活與自由，從很小就開始紅到大，到底有多少時間是屬於自己的
麥可傑克森,5.0,"電影不管內容如何，麥可本身就是滿分的存在，
這是個充滿音樂與愛的他🫶
這就夠了～"
麥可傑克森,4.5,幾乎神還原 劇情從前十分鐘就沒有冷場 一路引人入勝進入麥可的故事和演出 身為麥可迷真的很感動 好像親臨現場感受麥可經典的演出 而且很大機率感覺會有續集
麥可傑克森,4.0,雖然看之前已經知道，主角跟飾演者有親戚關係，但是很多地方真的覺得是完全美化的版本，尤其是在膚色方面，其實在後期報導有關於麥可的心理方面的處理，整個是到他登上輝煌年代為止，但是整個氛圍，舞台，服裝，有考究過，所有選曲都超經典，所有最初的MTV的感動都在，但是珍妮傑克森完全消失是怎麼了？
麥可傑克森,4.5,二刷了，整片感人，歌曲動聽，男主講話聲音模仿的超級像麥可，原音重現，永遠的神，無人能超越🥰
麥可傑克森,5.0,"強推👍👍
超級感動
姪子演得真棒！仿佛又看到Michael 本人😍
（像參加了一場演唱會）
在有Michael 的年代長大，真好❤️❤️"
麥可傑克森,5.0,沒看過麥可演唱會的歌迷，在看過IMAX後，有一種壓倒性的臨場感，也是一個時代的現場。劇情和演技就也不必糾結了...
麥可傑克森,5.0,看了這部片才知道為何家裡蓋遊樂園及動物園，而且必要看IMAX才震撼，非常推薦
麥可傑克森,5.0,導演對於這位音樂界、曾經風迷全球的世界超級巨星怎樣的掘起、獨特的唱腔、獨一無二的舞步拍的唯妙唯肖、男主角更是他的姪子演的、來自音樂世家傑克森家族成員，很佩服他的努力，把麥可傑克森獨特的舞台魅力演的10分成功，非常好看！
麥可傑克森,5.0,MJ的電影，沒有什麼可說，就是看爆！
麥可傑克森,5.0,"真的太傳神啦！永遠的世界超級無敵巨星！
無可取代！"
麥可傑克森,4.5,"可能礙於一些法律問題，感覺電影有些部分剪輯上？！有點點不順。
但有把內心細節與經典呈現到位！期待它的下一集！"
麥可傑克森,5.0,我不是MJ迷，但這個電影我看過後內心非常澎湃不已，太嗨了，MJ他們五兄弟的舞步有夠精湛，不管是大MJ還小MJ的飾演者歌聲有夠好聽的，我觀看時被他們的氣場給弄嗨到一整個過癮萬分，宛如自己就在現場看他們演出演唱一樣的嗨，我必須說千萬不要聽信國外影評人的廢評論，喜歡音樂電影的，拜託，快來看！超爽Der!嗨到爆！ 👏👏👏👍👍👍
麥可傑克森,5.0,無法超越的傳奇人物
麥可傑克森,5.0,比預期的更好看，還想要二刷，期待續集！
麥可傑克森,5.0,沒有第二位可以超越的一代巨星，很像在戲院看演唱會，飾演麥可小時候那位小男孩唱歌跳舞都好厲害！期待第二集！
麥可傑克森,5.0,"很好看～ 很值得買票進場～
覺得選角也選的很好👍
他侄子真的把他演繹的很好、很到位
很多地方都感覺看到了MJ的影子在～"
祭弒,3.0,打3顆，沒看過，上映前聲量挺高的，真的有期待感，不過目前看來感覺反響很差。
祭弒,0.5,無言，完全睡著了
祭弒,4.0,"一言難盡
誠心建議有閒錢可以去看"
祭弒,0.5,"小曹演的鬼片都爛到爆
黃衣小飛峽也是他演的
雷到爆"
祭弒,0.5,超級雷
祭弒,0.5,雷
祭弒,4.5,還可以。加減看
祭弒,0.5,不要跟我說這也有文化部補助
祭弒,3.0,我看宣傳片感覺應該很讚！怎麼大家分數給這麼低@我不敢去看！我相信一定很尷尬，不然不會這樣！又沒說原因，但真心好奇😯
關於我轉生變成史萊姆這檔事 劇場版 蒼海之淚篇,5.0,哥布達的春天居然🤣😭
關於我轉生變成史萊姆這檔事 劇場版 蒼海之淚篇,4.0,"劇情差不多單純，就是出現反派然後出任務打敗他們
但看了好久的開會終於打戲給好給滿！
本集的主角應該是哥布達無誤
（片尾彩蛋好看🤩）"
關於我轉生變成史萊姆這檔事 劇場版 蒼海之淚篇,3.0,普通
關於我轉生變成史萊姆這檔事 劇場版 蒼海之淚篇,5.0,哥布林出頭天啦~~~~
動物農莊,5.0,👍🥰🥰
動物農莊,5.0,讚
動物農莊,5.0,"充滿政治寓言意味的成人動畫, 劇情絕對是滿分!"
動物農莊,5.0,這部經典寓言不僅是兒時必看的讀書心得素材，更是成年後看清現實的警世燈。它深刻揭露理想如何被權力扭曲，當爭取平等的革命淪為特權階級的遊戲，提醒我們若缺乏獨立思考與制衡，自由終將在謊言中消逝。
動物農莊,5.0,"好看！
因為是Andy Serkis導演～所以來支持一下👍"
動物農莊,5.0,好看👍
動物農莊,5.0,豬豬這麼可愛，以豬為主題的動畫都不會錯過。^__^
動物農莊,4.0,是部政治諷刺預言片，看到戲院開了一堆國語場，英文寥寥可數，大概意圖想推成家庭片，但小朋友應該看不懂，內容也不歡樂，在成人看來甚至有點抑鬱，家長如果抱錯誤期待帶小朋友進去看，可能不太適合...
動物農莊,5.0,👍👍👍
動物農莊,5.0,發人深省
動物農莊,5.0,好看!
動物農莊,5.0,好片
動物農莊,5.0,適合大小朋友一同欣賞
動物農莊,5.0,😄
動物農莊,5.0,適合大人看的動畫片
動物農莊,5.0,充滿寓意
動物農莊,0.5,一家人一起睡
動物農莊,5.0,"妥妥是在講習近平！特別是豬的形象跟他根本是形象代言
😂整個就是共產黨主義的笑話，特別是豬的體現，根本是習近平本人，長得像豬不是本事
有本事的是小學生學歷還可以當領導人，還可以出書🤔
真的滿要臉的畜生"
死亡賭局,5.0,"本人因為很喜歡春風 所以可能有不同見解
但真的私心覺得演得很好
已經有把他這個角色該詮釋的情緒詮釋好
也很完整表達以前發生在台灣的老人會事件
讓我們更清楚以前曾經發生的事
這故事不僅包誇了講述以前發生的事
還在表達男主角對於這種兩難的抉擇
會做出什麼樣的決定
有些時候人的想法真的不只是表面上的以為
有時候身邊最親的人也可能是傷最重的人
在殘酷的事情都有可能發生
在最後幾幕有稍微鼻酸流眼淚
雖然這部沒有到「非常驚艷」
但我覺得是可以去嘗試看看 也可以了解以前發生過的事情！！！"
死亡賭局,4.0,"上次看到走心是小雁與吳愛麗
可能蠻多人會無感的
如果小雁與吳愛麗是一個家庭社會的縮寫
這部也是一個縮寫
加了是人性和社會的縮寫
多的是有錢跟權的人比你更了解遊戲規則
生下來的那刻已經在人生遊戲中了
沒得選擇家庭
只能選擇怎麼過自己的生活
商業也不商業
論電影中抓馬的部分非常商業
不走煽情路線
現實的抗爭、在選擇間的猶豫
比你我想像的都還貼近我們的生活"
死亡賭局,5.0,"台味十足的國片
春風展現了絕佳的演技
真實事件改編
劇情考驗人性、發人深省
值得一看！"
死亡賭局,5.0,沒看過這樣的國片
死亡賭局,4.0,有點黑暗，兩難的處境讓人頗不舒服，以情境跟劇情來講，會有這些感覺，這電影應該算成功吧...
死亡賭局,4.5,猛！
死亡賭局,5.0,"節奏很讚
演員也很讚
雲林六輕的夜晚畫面好獵奇
重要的是，最怕的國片尷尬感完全沒有
在看到電影宣傳之前完全不知道有老人會的存在🤯
但是了解之後，好像也可以理解家中長輩想要藉由這種方式想要留點錢給後代的想法。
除了老人會的局，電影裡還有職棒簽賭、長照等議題。雖然說都是自己選的，但在那個環境下，如果設身處地，我們有辦法做出不一樣的選擇嗎？"
死亡賭局,5.0,題材大膽 風格強烈
死亡賭局,5.0,台灣難得一見的好片，希望票房長紅！
死亡賭局,5.0,"喜歡節奏適中、情感收放恰到好處的劇，死亡賭局就是這樣的。絕對是近期看過最厲害的國片，完全不還好，大家千萬不要被春風呼嚨了！
在陽剛肅殺的氣氛下，畫風突變出一個反差萌的場景；在緊張到屏住氣的地方，忽然讓人噗嗤一笑；在終於可以鬆一口氣的地方，讓人的心突然揪了起來。
畫面獵奇，飆電子花車榮登第一名。各種物件、對話上前後呼應的巧思，一旦發掘就想要再再回想有沒有漏掉的細節。人物互動詭譎多變，只能自己抽絲剝繭理解每個獨立角色的利益算計。
不灑狗血，不刻意催淚，真實社會事件改編的劇情，引導觀眾了解並思考「老人會」的起源和衍生的問題；每個必須做決定的場景都值得思考，如果我是他/她，會做出不一樣的選擇嗎？
所以，請大家一定要選擇進戲院支持！"
死亡賭局,4.5,"有別於過去國片的拍攝手法 蠻驚艷的
再來是主角的帶入感
推薦大家快進戲院看"
死亡賭局,5.0,好酷好喜
死亡賭局,4.5,不一樣的國片
死亡賭局,5.0,把麥寮拍的十分奇幻！只能說 幸福，快樂！有看就懂！
死亡賭局,5.0,真摯的兄弟情，帥氣！
死亡賭局,5.0,"一部看完會一直讓我想起家人的片，覺得怎麼會有人這麼邪惡，覺得自己能操縱生死
希望能有更多人可以了解這樣的事情！
本片的拍攝風格也非常特別，把台灣的特色利用詭譎的燈光融入在故事之中，不是矯情造作的販售台灣感性，而是自然而然的讓人身歷其境
最後希望大家支持國片，讓有質感的國片可以被更多人看到"
死亡賭局,0.5,"超級大爛片，這是今年至今，我看過品質最低落的國片。
從頭到尾都不知局情在演什麼？ 先說：光是螢幕太近拍攝、根本就看不清楚畫面、打鬥不知在打什麼、追車不知在追什麼？
再加上螢幕晃來晃去，讓人頭暈，整部電影都在晃動。"
死亡賭局,5.0,春風詮釋的非常好👍
死亡賭局,5.0,沒看電影不知道如此沉重的社會問題，整部片節奏鮮明、緊張刺激，有幾場畫面拍攝手法迷幻令人印象深刻，同時又帶出人性兩難、親情、愛情、金錢和政治糾葛等等議題，非常值得進戲院好好觀賞!
死亡賭局,4.5,超好看的一部電影！也值得二刷品嚐
死亡賭局,4.5,還不錯。
死亡賭局,4.5,該看
死亡賭局,4.5,劇情拍攝緊湊、剪接俐落、毫無冷場，真的好看～
死亡賭局,5.0,全程無冷場，一氣呵成又留有餘韻的好電影
死亡賭局,4.5,好久沒看到這麼有深度的國片了，值得去看看
死亡賭局,5.0,"整個電影的色系、光線 我都好喜歡⋯
映後聽拍攝團隊說是第一部電影
但我覺得整部片看起來很純熟
整體滿驚豔的！！"
死亡賭局,5.0,好看！
死亡賭局,0.5,爛到爆...劇本寫的沒頭沒尾！
死亡賭局,4.5,干！怎麼這麼好看！國片真的有望！環環相扣，大推
死亡賭局,1.0,真的別看，沒看過這麼爛的片
狸想世界,5.0,影片後面有兩段彩蛋，最後一個要字幕全跑完才會出來，好多口碑場的人以為一個就離開了，記得ㄛ！
狸想世界,5.0,"沒有抱什麼預期心理去看，結果反而超可愛😍
到現在還是會不時想起可愛的河狸王🤣"
狸想世界,5.0,不知道是因為太久沒看皮克斯，還是現在的皮克斯已經大改路線了，我覺得這次的《狸想世界》題材蠻深的，也很值得省思。它不是只有可愛動物，裡面融入了很多社會議題，有些甚至要仔細觀察才會發現。原本我只是為了那隻迷因蜥蜴去看，但看完之後，留在心裡的已經不只有牠了，反而從故事中看見了很多讓人思考的事情。真的很推薦這部片，但要試著用不同角度去看，會發現比想像中更多的內容，而且會有很多意想不到的收穫。
狸想世界,4.5,看完真的太喜歡了🦫🦫🦫🪵🪵🪵❤️❤️❤️🥔
狸想世界,5.0,喜歡河狸王❤️很善良
狸想世界,4.5,超級可愛，好多笑點，也有讓我感人落淚的環節。真的好愛這種又可愛又好看又娛樂好笑又感人的電影。
狸想世界,4.0,前面以為就只是很中規中矩的動畫片 結果沒想到後面整個哭出來
狸想世界,5.0,好笑又感人，適合闔家觀賞，人類為了自身利益而破壞小動物們的棲息地，令人省思
狸想世界,5.0,"真的特好看！
口排場就去看了
今年如果要進電影院看一部，可以考慮這部！"
狸想世界,5.0,"喜歡這次的劇情💖
從頭到尾都精彩，沒有冷場。
任何物種都要和平共處、相互制衡。
片尾兩個彩蛋，一個要等全部字幕跑完～
可看可不看（ 螞蟻🐜幫阿公運送）
主角是女孩，但我覺得畫風跟配音很像男孩😝
整體給十分，適合全家觀賞👍👏"
狸想世界,5.0,"開心 又感人的劇情 很值得闔家觀賞。
角色們鮮明又可愛😻
🦫🐻🦎🪵❤️❤️❤️"
狸想世界,5.0,不錯看
狸想世界,5.0,超好看，我的最愛是阿廢
狸想世界,5.0,一開始只是被可愛吸引，但看到後來是令人省思的劇情，好看👍
狸想世界,4.5,"意外的不分年齡大家都適合去看
好笑可愛環境議題都表達得很清楚👍"
狸想世界,5.0,好看喔
狸想世界,5.0,很可愛，劇情也有趣，不過的確現在其他物種的生活空間都被人類佔領，值得深思
狸想世界,4.5,"本來覺得應該普通的動畫
沒想到好笑又感人
河狸🦫超可愛！"
